Datum;Titel;Text;Link;Quelle;Autor
04.03.2020;Wie sich Shiny® und YUNA gegenseitig ergänzen;, ×, YUNA, YUNA, Vorname*, Nachname*, E-Mail*, Telefon*, Organisation*,  - Beitrag vom 04.03.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/wie-shiny-yuna-ergaenzen;EODA;
30.01.2020;Shiny: Load Testing und Horizontale Skalierung ;", ×, Shiny:, Architektur, Load-Testing-Tools &amp; Testanwendung, function, 2, 1000, 1, darkgray, white, Im Sessions-Tab können die von den, Im Sessions-Tab können die von den, Workern, Workern, gestarteten Sessions analysiert, gestarteten Sessions analysiert, werden. In unserem Beispiel schafft jeder, werden. In unserem Beispiel schafft jeder, Worker, Worker, ca. 3-4 Sessions während des von uns gewählten Zeitraums von zwei Minuten. Die Breite der Blöcke spiegelt dabei die benötigte Berechnungszeit wider, die jeder Schritt in der von uns aufgezeichneten Session benötigt., ca. 3-4 Sessions während des von uns gewählten Zeitraums von zwei Minuten. Die Breite der Blöcke spiegelt dabei die benötigte Berechnungszeit wider, die jeder Schritt in der von uns aufgezeichneten Session benötigt., , Bei einer Anzahl von, Bei einer Anzahl von, Workern, Workern,  &gt; 300 fallen zuerst breiter werdende Blöcke auf. Außerdem lassen sich zum ersten Mal signifikant breite türkise und gelbe Blöcke erkennen, welche den Start der Sessions und das Laden der JS/CSS-Files beschreiben. ,  &gt; 300 fallen zuerst breiter werdende Blöcke auf. Außerdem lassen sich zum ersten Mal signifikant breite türkise und gelbe Blöcke erkennen, welche den Start der Sessions und das Laden der JS/CSS-Files beschreiben. , Im Session Duration-Tab findet sich jede gestartete Session von allenWorkernder Ausführungszeit, Im Session Duration-Tab findet sich jede gestartete Session von allen, Workern, der Ausführungszeit, nach, nach, aufsteigend sortiert, aufsteigend sortiert, ., ., , Bei einer Anzahl vonWorkern&gt; 200 zeichnet sich ca. ab dem letzten Drittel der Sessions eine deutliche Steigerung der Ausführungszeit ab., Bei einer Anzahl von, Workern, &gt; 200 zeichnet sich ca. ab dem letzten Drittel der Sessions eine deutliche Steigerung der Ausführungszeit ab.,  , Im Event-, Im Event-, Waterfall, Waterfall, -Tab wird die aufgezeichnete Session in, -Tab wird die aufgezeichnete Session in, ihre einzelnen Events unterteilt (bspw. Anpassen des Histogramms – Neuzeichnung des Plots, …). Jede gestartete Session, ihre einzelnen Events unterteilt (bspw. Anpassen des Histogramms – Neuzeichnung des Plots, …). Jede gestartete Session, durchläuft als Linie von oben bis unten alle Events und wird anhand der verstrichenen Zeit gezeichnet. Verlaufen die Linien von zwei gestarteten Sessions parallel, benötigen sie dieselbe Zeit, um die aufgezeichnete Session auszuführen., durchläuft als Linie von oben bis unten alle Events und wird anhand der verstrichenen Zeit gezeichnet. Verlaufen die Linien von zwei gestarteten Sessions parallel, benötigen sie dieselbe Zeit, um die aufgezeichnete Session auszuführen., , Bei einer Anzahl von, Bei einer Anzahl von, Workern, Workern, &gt; 200 beginnen sich Unregelmäßigkeiten in der Parallelität der Linien abzuzeichnen, &gt; 200 beginnen sich Unregelmäßigkeiten in der Parallelität der Linien abzuzeichnen, , sodass Sessions ab einem gewissen Zeitraum eine stärkere Tendenz nach rechts aufweisen., , sodass Sessions ab einem gewissen Zeitraum eine stärkere Tendenz nach rechts aufweisen.,  , Im, Im, Latency, Latency, -Tab wird für jede Session die Zeit dargestellt, die für HTTP-Anfragen und das Laden der JS/CSS-Dateien benötigt wird. Die rote Linie sy, -Tab wird für jede Session die Zeit dargestellt, die für HTTP-Anfragen und das Laden der JS/CSS-Dateien benötigt wird. Die rote Linie sy, mbolisiert dabei einen Referenzwert von 5 Sekunden, an dem die Verteilung der Ladezeiten gemessen werden kann (Hier nicht gezeigt ist der zweite Reiter des Tabs, in dem die Reaktionszeit von, mbolisiert dabei einen Referenzwert von 5 Sekunden, an dem die Verteilung der Ladezeiten gemessen werden kann (Hier nicht gezeigt ist der zweite Reiter des Tabs, in dem die Reaktionszeit von, Shiny, Shiny, für Berechnungen gemessen und äquivalent dargestellt wird), für Berechnungen gemessen und äquivalent dargestellt wird), ., ., , Bei einer Anzahl vonWorkern&gt; 200 überschreiten die ersten Sessions den gesetzten Referenzwert. Bei einer, Bei einer Anzahl von, Workern, &gt; 200 überschreiten die ersten Sessions den gesetzten Referenzwert. Bei einer, Anzahl vonWorkern&gt; 400 machen sich zum ersten Mal die Ladezeiten der JS/CSS-Dateien deutlich bemerkbar., Anzahl von, Workern, &gt; 400 machen sich zum ersten Mal die Ladezeiten der JS/CSS-Dateien deutlich bemerkbar., , Im Event-Duration-Tab wird für jeden Lauf ein Boxplot für jedes einzelne Event dargestellt, absteigend geordnet nach der längsten gemessenen Zeit., Im Event-Duration-Tab wird für jeden Lauf ein Boxplot für jedes einzelne Event dargestellt, absteigend geordnet nach der längsten gemessenen Zeit., , Bei ein, Bei ein, er Anzahl vonWorkern&gt; 400 enthalten die Boxplots zum ersten Mal über die meisten Events hinweg konsistent Ausreißer. Ferner finden sich erst hier für viele Events signifikante Ladezeiten, welche bei den Läufen mit wenigerWorkernkaum ins Gewicht fallen., er Anzahl von, Workern, &gt; 400 enthalten die Boxplots zum ersten Mal über die meisten Events hinweg konsistent Ausreißer. Ferner finden sich erst hier für viele Events signifikante Ladezeiten, welche bei den Läufen mit weniger, Workern, kaum ins Gewicht fallen., , Im Event-, Im Event-, Concurrency, Concurrency, -Tab wird für jeden Lauf ein Scatterplot für jedes Event dargestellt, basierend auf der Anzahl gleichzeitiger Nutzer. Für jeden Lauf wird eine Regressionsgerade an den Plot angepasst und dann absteigend nach größter, -Tab wird für jeden Lauf ein Scatterplot für jedes Event dargestellt, basierend auf der Anzahl gleichzeitiger Nutzer. Für jeden Lauf wird eine Regressionsgerade an den Plot angepasst und dann absteigend nach größter, gemessener Steigung der Geraden sortiert (In den anderen Reitern wird nach größtem gemessenen Achsenabschnitt/größtem gemessenen Fehler sortiert. Außerdem lassen sich die Ergebnisse der Regressionsmodelle in einer Tabelle abrufen), gemessener Steigung der Geraden sortiert (In den anderen Reitern wird nach größtem gemessenen Achsenabschnitt/größtem gemessenen Fehler sortiert. Außerdem lassen sich die Ergebnisse der Regressionsmodelle in einer Tabelle abrufen), ., ., Bei einer Anzahl vonWorkern&gt; 300, Bei einer Anzahl von, Workern, &gt; 300, zeichnet sich zum ersten Mal eine breitere Verteilung der Punkte im Scatterplot ab. Die Anzahl der gleichzeitig aktiven Nutzer tendiert aufgrund von höheren Ladezeiten in Richtung 250 – 300. Bei einer Anzahl vonWorkern&gt; 400 vergrößert sich dieses Intervall, zeichnet sich zum ersten Mal eine breitere Verteilung der Punkte im Scatterplot ab. Die Anzahl der gleichzeitig aktiven Nutzer tendiert aufgrund von höheren Ladezeiten in Richtung 250 – 300. Bei einer Anzahl von, Workern, &gt; 400 vergrößert sich dieses Intervall, wie zu erwarten auf, wie zu erwarten auf, 250 – 400 gleichzeitig aktive Nutzer, 250 – 400 gleichzeitig aktive Nutzer, ., .,  - Beitrag vom 30.01.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden";https://www.eoda.de/wissen/blog/shiny-load-testing-und-horizontale-skalierung;EODA;
22.01.2020;Die 5 Data Science Trends 2020;, ×, Data Science Trends 2020, Wir verwandeln Trendthemen für Sie in nachhaltige Mehrwerte,  - Beitrag vom 22.01.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/die-5-data-science-trends-2020;EODA;
22.01.2020;Schön‘ juten Tach und Moin Moin: R-Trainings in Berlin und Hamburg;, ×, R-Trainings, Berlin, Hamburg, R ist eine der führenden Programmiersprachen für Datenanalyse und Datenvisualisierung. , Erschließen Sie, in unseren beliebten R-Trainings, das Potenzial von Data Science, und lernen Sie, wie Sie mit der Open-Source-Sprache Daten in Mehrwerte verwandeln können., Mit über 1.500 zufriedenen Teilnehmern gehören die R-, Trainings, von eoda zu den Führenden im deutschsprachigen Raum., , Im April 2020 und Oktober 2020 ist es soweit: Wir bringen unsere beliebten Trainings, „Einführung in R“ und „Machine Learning mit R“, nach Berlin und Hamburg., , Kursinhalte, Einführung in R, Mit praktischen Tipps und Übungen dient dieser Einführungskurs als Grundlage für den weiteren Einsatz von R in individuellen Anwendungsfällen. Um die Basis für ein selbstständiges Arbeiten legen zu können, steht die Vermittlung der Logik und Terminologie von R im Vordergrund. Dieser Kurs richtet sich an Einsteiger und setzt somit keine tiefergehenden Vorkenntnisse voraus., , Machine Learning mit R, Nutzen Sie Machine Learning und Data-Mining-Algorithmen, um auf Datenbasis Anwendungen der Künstlichen Intelligenz zu entwickeln., Erfahren Sie, ebenfalls,, welche Herausforderungen Ihnen begegnen und wie Sie diese mit R meistern können., , , Mittels praxisnaher Beispiele und praktischer Übungen vermitteln wir Ihnen in diesem Kurs die Fähigkeiten, um Machine-Learning-Verfahren in R eigenständig durchzuführen., , , Berlin, , Einführung in R, , 21.04. – 22.04.2020, |, Machine Learning mit R, , 23.04. – 24.04.2020, , Hamburg, , Einführung in R, , 13.10. – 14.10.2020, |, Machine Learning mit R, , 15.10. – 16.10.2020, , Diese beiden Einführungskurse können auch als Bundle zu einem attraktiven Angebotspreis gebucht werden., , , Sichern Sie sich einen der begehrten Plätze und werden Sie, dieses Jahr,  zum Data Science Experten mit R! Wir freuen uns auf Ihre Anmeldung. Hier finden Sie mehr zu den Trainings: Berlin und Hamburg., Mehr noch: In unseren Python-Trainings, geben wir Ihnen, ebenfalls, einen praxisnahen Einblick in den Funktionsumfang der Universalsprache, im Data-Science-Kontext, ., Sprechen Sie uns an!,  - Beitrag vom 22.01.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/r-trainings-in-hamburg-berlin;EODA;
16.01.2020;"""Data Science"" im Marketing - Eat your own dogfood";, ×, Vorname*, Nachname*, E-Mail*, Telefon*, Organisation*,  - Beitrag vom 16.01.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/data-science-platform-marketing;EODA;
10.01.2020;Data Science und KI: Konferenzen 2020;, ×, Data Science und KI:,  - Beitrag vom 10.01.2020, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/ki-konferenzen-2020;EODA;
15.12.2019;So baut man Data Science Plattformen - Teil 5: Datenvisualisierung und belastbare Ergebnisse;, ×, Data Science Plattformen,  - Beitrag vom 15.12.2019, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/so-baut-man-analytikplattformen-teil-5-datenvisualisierung-und-belastbare-ergebnisse;EODA;
11.12.2019;Datenstrategie: Wegweiser zu digitalen Erfolgen;, ×, Datenstrategie,  - Beitrag vom 11.12.2019, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/data-science-strategie-wegweiser;EODA;
10.12.2019;So baut man Data Science Plattformen - Teil 4: Datenbankskalierbarkeit und Business Models;, ×, Data Science Plattformen,  - Beitrag vom 10.12.2019, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/how-to-analytikplattformen-datenquellen-geschaeftsmodelle-usecase;EODA;
08.12.2019;So baut man Data Science Plattformen - ;, ×, Data Science Plattformen,  - Beitrag vom 08.12.2019, Hiermit erkläre ich mich mit der Datenschutzerklärung von eoda einverstanden;https://www.eoda.de/wissen/blog/how-to-analytikplattformen-workflows-dashboards;EODA;
