Datum;Titel;Text;Link;Quelle;Autor
23.10.2020;Steirische Unis bauen trotz Coronakrise aus;"Und das sind die wichtigsten Projekte, die aktuell zwischen Graz und Leoben laufen:

Uni Graz
Studenten, Bedienstete und Campus-Flaneure können derzeit rege Bautätigkeiten beobachten: „Es werden gerade einige Projekte umgesetzt, die schon sichtbar sind - und zwar die Fassadenrenovierung am Hauptgebäude und die umfassende Neugestaltung des Innenhofs“, berichtet Rektor Martin Polaschek. TU Graz
Am Campus Inffeldgasse der Technischen Universität errichtet die Bundesimmobiliengesellschaft (BIG) zwei Neubauten: das „Data House“ und das „Silicon Austria Labs Building“. Das Investitionsvolumen beträgt rund 55 Millionen Euro. Die Fertigstellung der Gebäude - sie entstehen auf einer 8800 Quadratmeter großen Grundstücksfläche und bieten rund 20.000 Quadratmeter Netto-Raumfläche - ist zwischen Juli 2022 und Jänner 2023 geplant.

An den neuen TU-Standorten sollen Forschung und Entwicklung in den Zukunftsbereichen „Data Science“ und Mikroelektronik großgeschrieben werden. Med Uni Graz
Mit dem „Med Campus Graz“ errichten die BIG und die Medizinische Universität eines der modernsten Zentren für medizinische Forschung und Lehre in Europa. Auf 90.000 Quadratmetern, die sich auf zwei Module und die Anatomie verteilen, entsteht einer der größten Universitätsbauten Österreichs.

Für die neue Anatomie der Med Uni Graz wurde erst kürzlich der Grundstein gelegt: Die historische Pathologie wird saniert und erweitert, dazu kommt ein Neubau, in dem ein Hörsaal für 500 Studenten sowie zwei Seziersäle mit 70 Tischen Platz finden. Das historische Bestandsgebäude und die moderne Ergänzung werden unterirdisch miteinander verbunden, wodurch ein Innenhof zwischen Alt- und Neubau entsteht.

Kunstuni Graz
Auch an der Universität für Musik und darstellende Kunst in der Landeshauptstadt wird bereits gebohrt und gehämmert: Der Ausbau und die Sanierung des Institutsgebäudes in der Brandhofgasse steht am Plan.

Im Zuge der Erweiterung wird das Institutsgebäude teilweise aufgestockt und mit dem Bibliotheksgebäude über einen Zubau verbunden. Der helle Eingangsbereich soll, so die Architekten, dem Standort ein neues Gesicht verleihen: Die gläserne Fassade mit gelbgoldenen Lamellen erinnert an Klavier- oder Harfensaiten und lässt Einblicke in den Bestand und in einen zusätzlichen Ensembleraum zu. Zudem wird Platz für eine größere Cafeteria geschaffen. Großer Wert wird insbesondere auf eine neue Schalldämmung gelegt.

Montanuni Leoben
Im obersteirischen Leoben wird ebenfalls ein großes Bauvorhaben abgewickelt: Die Montanuniversität erhält ein neues Hörsaalzentrum - gerade wird das Fundament dafür errichtet.";https://www.krone.at/2259121;Krone;Jörg Schwaiger
14.12.2020;Immer mehr Firmen verlassen das Silicon Valley;"Dort habe das Unternehmen bereits seinen größten Beschäftigungsschwerpunkt in den USA. Houston sei zudem ein attraktiver Standort, um künftige Mitarbeiter anzulocken, teilte Hewlett Packard Enterprise weiter mit. Aktuell wird demnach eine neue Firmenzentrale gebaut.

Abwanderungswelle durch Corona
Die Corona-Krise löste bereits eine erste Abwanderungswelle aus dem Silicon Valley aus. In den vergangenen Jahrzehnten waren vor allem die Mieten im Zentrum der Start-up-Welt immer weiter gestiegen. Die Pandemie mit verstärkter Heimarbeit nutzten viele Mitarbeiter von Tech-Firmen, um in günstigere Gegenden zu ziehen.

Inzwischen zeichnet sich zudem ab, dass man auch in Zukunft weniger Zeit im Büro verbringen wird. Dadurch sehen die Unternehmen mehr Spielraum bei der Wahl ihres Hauptquartiers. Vor einigen Monaten kündigte etwa bereits die Datenanalyse-Firma Palantir an, ihre Zentrale von Palo Alto nach Denver im Bundesstaat Colorado zu verlegen.
Oracle-Chef Larry Ellison (Bild: EPA/epa Monica M. Davey) Oracle hatte seinen Hauptsitz zuletzt in Redwood City südlich von San Francisco. Die dortigen markanten Bürotürme sollen ein wichtiger Standort bleiben. Oracle war 1977 unter anderem von Larry Ellison gegründet worden. Der Datenbanken-Spezialist gehört damit zu den Unternehmen, die das Silicon Valley groß gemacht und den Boden für heutige Online-Riesen bereitet haben.";https://www.krone.at/2297846;Krone;
07.12.2020;Top-Waffenproduzenten nahmen fast 300 Mrd. € ein;"Bei zwölf der 25 größten Rüstungskonzerne handelt es sich um Unternehmen aus den USA. Die fünf Top-Firmen sind alle US-amerikanisch. Es sind: Lockheed Martin, Boeing, Northrop Grumman, Raytheon and General Dynamics. Dabei behielten die ersten vier ihre jeweiligen Spitzenplätze bei. General Dynamics wechselte den Platz mit Aviation Industry Corp. of China (AVIC). AVIC verlor im Vergleich zu 2018 einen Rang und ist nun Sechster, General Dynamics machte einen Rang gut. Die zwölf US-Konzerne im Ranking nahmen im Vorjahr insgesamt gut 221 Milliarden der 361 Milliarden Dollar ein, das sei ein Anteil von 61 Prozent an den 361 Milliarden.

Auch China mischt vorne mit
Aus China finden sich insgesamt vier Waffenproduzenten unter den 25, drei davon unter den Top Ten. Sie stehen für 16 Prozent der 361 Milliarden. Chinesische Waffenschmieden profitieren vor allem von laufenden Modernisierungsprogrammen der chinesischen Armee und nicht so sehr von Exporten. Russland fällt zurück
Unter den 25 finden sich 2019 nur noch zwei russische Firmen. 2018 waren es noch drei gewesen. Während der Absatz der in der Liste vertretenen chinesischen und US-amerikanischen Unternehmen von 2018 auf 2019 um 4,8 Prozent stieg, fiel jener der russischen. Aus Europa sind Frankreich und Großbritannien mit jeweils zwei Rüstungskonzernen im Ranking der 25 vertreten, Italien mit einem. Hinzu kommt Airbus als mehrere Länder umspannender, europäischer Konzern. Erstmals befindet sich unter den 25 Top-Firmen eine aus der Nahost-Region: Die im Staatsbesitz befindliche EDGE Group aus den Vereinigten Arabischen Emiraten (VAE). Sie wurde erst im November 2019 durch Zusammenschluss mehrerer kleinerer Firmen gegründet.";https://www.krone.at/2292763;Krone;
01.01.2021;Corona: Israel hat schon 1 Million Bürger geimpft;"Eine Grafik auf der Website „Our World in Data“ vergleicht verschiedene Staaten nach der Zahl der verabreichten Dosen pro 100 Einwohner. Dort hatte Israel am Freitag mit 11,55 Dosen je 100 Einwohner weiter klar die Nase vorn - wenn auch nicht in absoluten Zahlen, wo China und die USA führen. Anfängliche Skepsis, jetzt enormer Ansturm
Auf anfängliche Skepsis vieler gegen die Impfung folgte in Israel ein enormer Ansturm auf die Impfstationen. Ministerpräsident Benjamin Netanjahu hat Israel bereits zum „Corona-Impfweltmeister“ erklärt. Sehr früh hatte er den Wettlauf um den Corona-Impfstoff zur Chefsache gemacht. Nach Angaben Netanyahus hat Israel mit Pfizer die Lieferung von acht Millionen Impfdosen und mit Moderna von sechs Millionen Impfdosen vereinbart. Modernas Medizinvorstand ist zudem Israeli. „Habern ein sehr starkes öffentliches Gesundheitssystem“
Professor Arnon Afek, Vize-Direktor des Schiba-Krankenhauses bei Tel Aviv, sieht verschiedene Gründe für den besonders erfolgreichen Ablauf der Impfkampagne in Israel. „Erstens haben wir ein sehr starkes öffentliches Gesundheitssystem, mit Krankenversicherung für alle Bürger“, sagt der ehemalige Generaldirektor des Gesundheitsministeriums. Das Modell basiere auf dem deutschen System, mit Krankenkassen und Krankenhäusern. „Die deutschen Juden, die nach Israel emigrierten, haben es mitgebracht und hier eingerichtet.“ Außerdem sei Israel ein hochtechnologisches Land mit weltweit führender medizinischer Ausrüstung und ausgezeichneten Lagerungsmöglichkeiten für den Corona-Impfstoff. „Gemeinsamer Krieg gegen das Coronavirus“
Zudem seien die Israelis ein sehr engagiertes, wendiges Volk, das schnell und effektiv auf Krisensituationen reagieren könne, sagt Afek. Viele Krankenschwestern blieben etwa oft nach Dienstende freiwillig für eine weitere Schicht, um noch mehr Menschen impfen zu können. „Alle sind gemeinsam in den Krieg gezogen - den Krieg gegen das Coronavirus.“ Irael: Hohe Infektionszahlen trotz drittem Lockdown 
Gleichzeitig ist die Zahl der Corona-Neuinfektionen in dem Land trotz eines dritten Teil-Lockdown wieder in die Höhe geschnellt. Die Zahl der neuen Corona-Fälle binnen 24 Stunden lag nach Angaben des Gesundheitsministeriums vom Freitag bei 5809. Am Vortag waren es mit 5831 noch etwas mehr gewesen - der höchste Stand seit Oktober. Das Gesundheitsministerium fordert deshalb eine Verschärfung der Corona-Beschränkungen von Sonntag an.";https://www.krone.at/2309676;Krone;
15.12.2020;Firmen informieren oft nicht über Mitarbeiterdaten;"Während nur rund die Hälfte der Unternehmen ihre Mitarbeiter über die Speicherung ihrer Daten informiert, wird im Umgang mit Unternehmensdaten viel Verschwiegenheit von der Belegschaft verlangt, so die AK. 92 Prozent der Arbeitgeber würden ihre Mitarbeiter dazu verpflichten, keine Geschäftsdaten weiterzugeben.

Zur Geheimhaltung mitarbeiterbezogener Daten wären weiters 77 Prozent der Arbeitnehmer verpflichtet, geht aus der Umfrage hervor. Das könne auch das Gehalt betreffen, was es wiederum schwerer mache, möglicherweise diskriminierende Einkommensungleichheiten zu entlarven, schreibt die AK.

Auch an Betriebsvereinbarungen mangelt es laut der Kammer - vor allem bei komplexeren Datenschutzthemen. So gebe es nur in 30 Prozent der Fälle Betriebsvereinbarungen, wenn es um die Verwendung von künstlicher Business Intelligence oder Data Warehouse gehe. Wenn GPS-Daten oder Fahrzeugdaten verwendet werden, existiere in 44 Prozent der Betriebe eine Vereinbarung. Bei simpleren Themen wie Videoüberwachung gebe es dagegen in 77 Prozent der Fälle eine Betriebsvereinbarung.";https://www.krone.at/2298543;Krone;
10.12.2020;48 US-Staaten klagen gegen Facebook-„Monopol“;"Die FTC beschuldigt Facebook, unter anderem durch diese Zukäufe eine „systematische Strategie“ verfolgt zu haben, um Bedrohungen des eigenen Monopols auszuschalten. In der Klage wird als eine mögliche Maßnahme vorgeschlagen, Facebook zum Verkauf einzelner Geschäftsbereiche zu zwingen. Der Konzern hatte in den vergangenen Jahren bereits die technische Infrastruktur hinter der Plattform seines Online-Netzwerks sowie Instagram und WhatsApp enger zusammengeführt. Das würde eine Aufspaltung technisch erschweren. Milliarden Dollar mit Nutzerdaten verdient
Die New Yorker Justizministerin James teilte mit: „Facebook hat seine Monopolmacht genutzt, um kleinere Rivalen zu vernichten und die Konkurrenz auszulöschen, alles auf Kosten alltäglicher Nutzer.“ Anstatt sein eigenes Produkt zu verbessern, habe Facebook mit der Umwandlung persönlicher Nutzerdaten in eine „Cash-Cow“ Milliarden Dollar verdient. „Klare Botschaft“
Die Klage solle eine klare Botschaft an Facebook und andere Unternehmen senden: Dass Versuche, Wettbewerb zu ersticken, Innovationen zu behindern oder den Schutz der Privatsphäre zu beschneiden von den Justizministern der Bundesstaaten mit aller Macht verfolgt würden. Milliardenschwere Übernahmen
Facebook hatte Instagram 2012 für rund eine Milliarde Dollar gekauft und WhatsApp im Jahr 2014 für etwa 19 Milliarden Dollar. Die Übernahmen lösten damals keinen Widerspruch der Regulierer in den USA aus - auch wenn Kritiker argumentierten, dass Facebook sich damit Konkurrenten einverleibt habe, die dem Konzern hätten gefährlich werden können.

Das Online-Netzwerk kontert, beide Dienste hätten nicht zuletzt dank der technischen Plattform von Facebook ihre aktuelle Größe mit jeweils deutlich mehr als einer Milliarde Nutzern erreichen können. Außerdem gebe es nach wie vor viel Wettbewerb. Facebooks Gründer und Chef Mark Zuckerberg hatte unter anderem auch versucht, die Foto-App Snapchat zu kaufen, ihre Gründer lehnten das Angebot jedoch ab.";https://www.krone.at/2295059;Krone;
10.12.2020;SpaceX-Rakete nach Testflug bei Landung explodiert;"„Der Druck im Kraftstofftank war während der Landung niedrig, was zu einer hohen Aufsetzgeschwindigkeit und RUD (die Abkürzung steht für Rapid Unplanned Disassembly und wird verwendet, wenn man sagen will, dass die Rakete explodiert ist; Anm.) führte, aber wir haben alle Daten, die wir brauchen! Herzlichen Glückwunsch, SpaceX-Team“, schrieb Musk auf Twitter. Der Höhentest sei erfolgreich verlaufen, die Umstellung auf Sammeltanks habe geklappt und die Klappensteuerung sei bis zum Landepunkt präzise gewesen, zeigte sich der Unternehmer ungeachtet des Test-Endes zufrieden. „Mars, wir kommen“
Beim ersten suborbitalen Flug des unbemannten 16-stöckigen Starship-Prototypen sollte mithilfe drei neuer „Raptor“-Triebwerke eine Höhe von über 12.000 Meter erreicht werden, bevor die Landung auf einer Betonplatte in der Nähe der Startrampe in Boca Chica, Texas, erfolgen sollte. Musk will mit dem Starship-Programm zunächst Menschen zum Mond und schließlich zum Mars fliegen. „Mars, wir kommen“, kündigte Musk an. Zuvor hatte die Firma mitgeteilt, dass bei einem solchen Test der Erfolg nicht an der Erreichung bestimmter Ziele gemessen werden, „sondern daran, wie viel wir lernen können“. ";https://www.krone.at/2295034;Krone;
11.12.2020;Vierte industrielle Revolution ist in vollem Gange;"Mit dieser Wachstumsrate lag Österreich auf Platz drei in Europa, hinter Schweden (22,6 Prozent) und der Schweiz (19,6 Prozent). 29 Prozent aller von 2000 bis 2018 in Europa entstandenen internationalen Patentfamilien im Bereich Industrie 4.0 stammten aus Deutschland. Weltweit betrug der Anteil Deutschlands 5,8 Prozent. Großbritannien, die Nummer zwei in Europa, kam auf einen weltweiten Anteil von 2,8 Prozent und Frankreich auf 2,5 Prozent. Aus Österreich stammten 0,4 Prozent der globalen internationalen Industrie-Patentfamilien bzw. 1,8 Prozent der europäischen.

Als besonders innovativ auf dem Gebiet Industrie 4.0 erwiesen sich die Finnen und die Schweden mit 651,1 bzw. 524,4 Patentfamilien pro Million Einwohner. Die beiden nordeuropäischen Länder konnten sich mit Südkorea (525) und Japan (405,2) messen. Die Niederlande und die Schweiz kamen auf jeweils mehr als 200, Deutschland auf 184 und Österreich auf 106,3 internationale Patentfamilien pro Million Einwohner. Der Europa-Schnitt lag bei 95,4.

Global und absolut gesehen haben die USA bei der vierten industriellen Revolution die Nase vorn: 32 Prozent der weltweit insgesamt 264.565 internationalen Patentfamilien kamen in den Jahren 2000 bis 2018 von dort. Ein Fünftel stammte aus Europa, 19 Prozent kamen aus Japan, 10 Prozent aus Korea und 9 Prozent aus China. Europäische Unternehmen verloren an Boden
In diesem Jahrzehnt, von 2010 bis 2018, hat Europa gegenüber anderen Weltregionen an Boden verloren, wie das Firmenranking der patentstärksten Unternehmen zeigt. Von 2000 bis 2009 hatte Siemens aus Deutschland noch Rang vier belegt, gefolgt von Nokia (Finnland, Platz 5) und Philips (Niederlande, Rang 6). Im Zeitraum 2010 bis 2018 schaffte es die innovativste europäische Firma, Ericsson, lediglich auf Rang 8, Nokia auf Platz 9. Philips fiel auf den 16. Platz zurück, Siemens auf Rang 18.

Sieger war in beiden Jahrzehnten Samsung, wobei sich der südkoreanische Techriese anteilsmäßig noch einmal stark verbessert hat. Auf Platz zwei kam, im Zeitraum 2010 bis 2018, LG (Südkorea), auf Platz drei der US-Chipkonzern Qualcomm. Es folgten Sony (Japan), Huawei (China), Intel und Microsoft (beide USA).

Enorm an Bedeutung gewonnen
Technologien, die der vierten industriellen Revolution zuzurechnen sind, haben in den vergangenen Jahren enorm an Bedeutung gewonnen. „Die Zahl der internationalen Patentfamilien (IPF) für 4IR-Technologien ist seit 2010 fast fünfmal so stark gestiegen wie im Querschnitt aller technischen Gebiete (4,2 Prozent)“, so das Europäische Patentamt. Im Jahr 2018 entfielen elf Prozent des weltweiten Patentierungsaufkommens auf vernetzte intelligente Objekte, für die fast 40.000 neue Patentfamilien angemeldet wurden.

Jede internationale Patentfamilie steht für eine einzige Erfindung und umfasst die für diese Erfindung bei verschiedenen Patentämtern eingereichten und veröffentlichten Anmeldungen. ";https://www.krone.at/2295342;Krone;
05.12.2020;So viele Salzburger bleiben nun zu Hause;"Geschlossene Geschäfte, gesperrte Restaurants, Veranstaltungsverbote im ganzen Bundesland: Allzu viele Gründe gibt es dieser Tage nicht, die eigenen vier Wände zu verlassen. Der zweite Lockdown hat ganz Salzburg noch bis zum Ende dieser Woche fest im Griff. Die Menschen halten sich zum großen Teil an die strengen Ausgangsbeschränkungen – das zeigen Analysen der Handydaten der Salzburger.

Das Unternehmen „Invenium Data Insights“ nimmt zusammen mit Partner A1 die Bewegungsströme der Mobiltelefonbesitzer unter die Lupe. Man analysiert, welche Handys sich über den Tag verteilt an welchen Mobilfunkmasten einwählen. Alle Prozesse verlaufen völlig anonym – daher gebe es auch keine Probleme mit dem Datenschutz, betont das Unternehmen.

Lockdown schränkte Mobilität sehr stark ein
Die Analysen beweisen: Nur knapp die Hälfte aller Salzburger hatte während des Lockdowns einen Bewegungsradius von mehr als einem Kilometer. Vor den verschärften Maßnahmen waren es noch zwei Drittel aller Menschen. Aber: Während des ersten Lockdowns im Frühjahr waren diese Werte noch weit niedriger. „Da stand das ganze Land tatsächlich still“, sagt Michael Cik, Mitgründer von „Invenium“.

Ein Blick auf die Daten für die Salzburger Altstadt untermauert das eindeutig: Demnach brachen die Besucherzahlen während der beiden Lockdowns im Frühjahr und als auch im Herbst drastisch ein. Ausländische Gäste gab es kaum noch.

Wie verhalten sich Bewohner der weiteren Salzburger Ortschaften? „Invenium“ stellt Bewegungsdaten aller Gemeinden ins Internet - abrufbar unter: bleibdaheim.invenium.io";https://www.krone.at/2291449;Krone;Nikolaus Klinger
26.11.2020;EU will zum „Datenkontinent Nummer eins“ werden;"Die Kommission will mit dem neuen Rechtsrahmen unter anderem sicherstellen, dass der Datenstrom nicht über US-Konzerne wie Amazon, Google oder Facebook fließt, sondern über unabhängige Datentreuhänder. Die sollen ihren Sitz in der EU haben. Außerdem sollen sie bei dem Datenaustausch lediglich als Vermittler zwischen den Datenproduzenten und den Datennutzern auftreten, die Daten aber selbst nicht kommerziell nutzen dürfen. Die Kommission wolle der Wirtschaft und den Bürgern die Instrumente an die Hand geben, um die Kontrolle über die Daten zu behalten, sagte Vestager. „Wir wollen Vertrauen schaffen, dass Daten im Einklang mit den europäischen Werten und Grundrechten behandelt werden.“

Mit diesem Konstrukt will die EU beispielsweise Praktiken unterbinden, wie sie unter anderem dem weltgrößten Online-Händler Amazon vorgeworfen werden. In der EU - aber auch in den USA - wird dem Konzern vorgehalten, seinen privilegierten Zugriff auf die Daten seines Marktplatzes zu missbrauchen, um eigene Produkte zu entwerfen und diese gegen erfolgreiche Bestseller von kleineren Anbietern ins Rennen zu schicken.

Grenzübergreifender Datenaustausch Daten soll vereinfacht werden
Die neue Verordnung soll gleichzeitig das Teilen von wertvollen Datensätzen für gemeinnützige Zwecke in ganz Europa erleichtern. So sollen öffentliche Krankenhäuser Daten über ihren Kampf gegen Covid-19 zusammenführen und ermöglichen, dass Patienten freiwillig Daten für die wissenschaftliche Forschung spenden können. In diese Kategorie fällt beispielsweise die Datenspende-App des deutschen Robert Koch-Instituts, über die Freiwillige Daten aus Fitness-Trackern und Smart-Watches zur Verfügung stellen, um den Wissenschaftlern die Bekämpfung der Corona-Pandemie zu erleichtern. Neben einer verbesserten Gesundheitsvorsorge hat die EU-Kommission auch Themen wie den Kampf gegen den Klimawandel oder bessere Mobilitätslösungen als mögliche Einsatzgebiete identifiziert. Behörden sollten dabei nach Möglichkeit exklusive Übereinkünfte mit einzelnen Partnern aus der Privatwirtschaft vermeiden, da dies zu einer eingeschränkten öffentlichen Verfügbarkeit von Daten führen könnte. Das könnte beispielsweise die Art und Weise verändern, wie öffentliche Einrichtungen ihre Daten für die Wissenschaft, aber auch private Dienste zur Verfügung stellt.

„Offener und doch souveräner Binnenmarkt für Daten“
Binnenmarkt-Kommissar Breton sagte, die Kommission definiere „ein wirklich europäisches Konzept für den Datenaustausch“. „Unsere neue Verordnung wird Vertrauen schaffen und den Datenfluss über Sektoren und Mitgliedstaaten hinweg erleichtern.“ Dabei behielten alle, die Daten erzeugen, das Steuer in der Hand. „Angesichts der ständig wachsenden Rolle von Industriedaten in unserer Wirtschaft braucht Europa einen offenen und doch souveränen Binnenmarkt für Daten.“ Zuvor hatte Breton Einschätzungen von einigen Juristen widersprochen, der neue „Data Governance Act“ verletze internationale Handelsabkommen und Bestimmungen der Welthandelsorganisation, weil die neuen Strukturen für den Datenaustausch auf die Europäische Union beschränkt sind. „Europäische Daten sollten in Europa gespeichert und verarbeitet werden. Daran ist nichts Protektionistisches“, sagte Breton im Vorfeld dem Portal „Politico“.

„Kompetente Behörden“ gesucht
Damit Bürger, Unternehmen und öffentliche Einrichtungen dem neuen rechtlichen Rahmen vertrauen können, soll jeder EU-Mitgliedstaat eine oder mehrere „kompetente Behörden“ benennen oder schaffen, die sich um die Umsetzung der Verordnung kümmern. „Regeln taugen nur dann etwas, wenn sie auch durchgesetzt werden“, sagte Vestager.

In dem „Data Governance Act“ ist auch ein neues Expertengremium vorgesehen, das die Kommission künftig auf Dateninnovationen hinweisen und bei der konkreten Umsetzung von Ideen in die Praxis unterstützen soll. Dieses „European Data Innovation Board“ soll aus Vertretern der Mitgliedstaaten und der EU-Kommission bestehen.";https://www.krone.at/2283983;Krone;
